ContractAddress,ShareScore,BalanceScore,TimeNow
0x3a1BC4014C4C493DB3dBfBDD8ee1417113b462BF-BPTL1,31.31,14.0105,2023-02-03 12:25:48.856161
0x9d08c56fd5f516de1a4d160977cc0edca548e988-AIMM,39.722,32.007999999999996,2023-02-03 12:54:01.977368
0xf9c0c255913c86423e0a04c8dabc9350c4e3ea72-AICryptoPredictor,38.018,27.4895,2023-02-03 13:01:16.644855
0x7E9c15C43f0D6C4a12E6bdfF7c7D55D0f80e3E23-ASTRADAO,6.809,6.091,2023-02-02 13:36:04.894937,
0x9C7376b5060C47E555f5F53005aA3D5A7C66f2fB-SWAPIFY,35.242,18.8265,2023-02-02 13:40:05.137299
0x36195E54fb07E8f27442ACfcc1311a81cbdbeFB2-AITOOLS,22.319,19.430999999999997,2023-02-02 13:44:20.476606
0x39DDd4FaB1d317A315091B197644640DC358A8D8-DOGELENA,47.314,28.398000000000003,2023-02-02 14:18:08.188768
0xdD34aB9b1450156928BC05f8aC6Bf82Af3d96519-SHANGHAI,36.409,11.540000000000001,2023-02-02 14:05:34.695060

EXO1,53.974,24.377000000000002,2023-02-04 11:47:37.552929
PUSS,36.096999999999994,22.235,2023-02-04 11:52:12.055026

_______________________________________________________________
Karat1,53.833999999999996,16.0435,2023-01-30 12:24:41.499591
Karat2,46.38,19.4705,2023-01-30 12:25:18.296230
Karat3,44.418,24.8155,2023-01-30 12:37:39.808769
Karat4,48.579,18.7975,2023-01-31 12:15:51.383206
Karat5,58.847,19.65,2023-02-02 09:27:07.903462
Karat6,59.317,20.886000000000003,2023-02-03 12:01:34.929845
Karat7,62.148,22.657,2023-02-06 17:55:44.366035
Karat8,62.25000000000001,16.729000000000003,2023-02-09 09:34:54.950737
Karat9,69.98400000000001,16.919,2023-02-13 12:47:02.980887
Karat10,64.475,17.2065,2023-02-18 19:31:21.037447


NEWS1,49.655,31.9775,2023-02-02 09:18:20.273145
NEWS2,48.211,31.4405,2023-02-03 13:35:16.300799
NEWS3,45.236000000000004,32.0595,2023-02-06 17:24:46.018705
NEWS4,48.792,15.575,2023-02-09 09:45:39.293490
NEWS5,49.98,14.898,2023-02-13 12:39:27.899466


TOSA1,39.633,19.886000000000003,2023-02-02 09:37:20.484716
TOSA2,40.128,20.6075,2023-02-03 13:07:04.911098
TOSA3,41.801,22.155,2023-02-06 17:17:49.870352
TOSA4,40.306999999999995,11.608000000000002,2023-02-09 10:08:10.631899
TOSA5,41.41,12.8,2023-02-13 12:31:33.205580


Wifu1,30.134000000000004,13.943500000000002,2023-02-09 09:23:10.397009,DEAD
Wifu2,35.878,13.575500000000002,2023-02-12 14:05:51.932389

btcf1,35.352999999999994,17.354,2023-02-10 17:48:52.171294
btcf2,33.370000000000005,16.7405,2023-02-10 18:06:02.095224
btcf3,28.648,15.930500000000002,2023-02-10 18:43:57.910646
btcf4,27.645,15.413500000000003,2023-02-10 19:41:44.586062
btcf5,25.023,14.938000000000002,2023-02-10 21:38:47.333191
btcf6,24.026,14.405000000000003,2023-02-10 22:50:35.918352
btcf7,38.129000000000005,15.522999999999998,2023-02-13 11:41:14.337805


Shinar1,58.553000000000004,18.1405,2023-02-12 12:57:49.626058
Shinar2,59.878,17.846,2023-02-13 12:03:02.733325

BBTT1,49.909,18.2505,2023-02-12 13:05:18.780068
BBTT2,41.985,17.5845,2023-02-13 12:07:30.925376

Milkai1,25.589000000000002,23.481,2023-02-12 13:12:55.833876
Milkai2,28.546999999999997,16.924,2023-02-13 11:58:13.955268
Milkai3,34.824,21.57,2023-02-13 23:35:36.936042
Milkai4,36.009,20.42,2023-02-14 12:24:40.636957
Milkai5,41.42699999999999,17.799,2023-02-19 01:30:38.780772


DOGA1,42.083999999999996,13.9295,2023-02-12 18:23:39.947923,
DOGA2,40.879,13.526,2023-02-13 11:52:50.073432

DegenAI1,31.358999999999998,17.171,2023-02-13 20:25:07.618601
DegenAI2,29.372,17.677000000000003,2023-02-13 21:14:06.342970
DegenAI3,29.211999999999996,16.720999999999997,2023-02-13 23:25:21.474916
DegenAI4,30.636000000000003,14.835,2023-02-14 12:35:49.060363
DegenAI5,47.336,13.991,2023-02-18 17:00:40.413445

SoundAi1,25.781,12.230999999999998,2023-02-22 18:14:13.513364
,37.231,10.903,2023-02-23 16:47:35.287142
,21.858,19.2835,2023-03-06 23:52:09.812223
,49.75,16.474,2023-03-07 13:06:15.400824
,10.0,50.0,2023-03-16 17:53:33.845478
,10.0,50.0,2023-03-16 17:53:45.134773
,10.0,50.0,2023-03-16 17:53:51.369429
,10.0,50.0,2023-03-16 17:53:56.620623
,30.527,29.014499999999995,2023-03-16 18:05:26.699912
,32.884,18.839000000000002,2023-03-31 18:08:43.288739
,17.212999999999997,14.086500000000001,2023-04-20 15:35:32.100452
