,Wallet_Address,Tokens_Traded,Still_Holding_OR_Dusted,Sold_Incrementally_(NotJet),Transfer_To_Other_Account_OR_NULL,Transfer_Stablecoin,Average_Profit
1,0x69d85e8f408f54c8ec16739b960eca73cab92ebd,16,24,1,20,0,-33.02484899624054
2,0x9bc259758bf586b495d2a0304cd32827f4418459,16,25,1,20,0,-33.02484899624054
3,0x4d60330e78d064a865aca1a477cb9b066efece84,31,31,1,38,0,9.708469790212822
4,0x2d353d8ed538e7043b7932f8fa04546fcb8a85ee,33,32,1,39,0,7.117036227808219
5,0x42434f9f71f9d3cdc4e4a6760861a2c19f48a99d,36,38,1,43,0,0.4607846507459462
6,0xc52211fca0d94dffaa96f972c647b3a5b0d81f52,56,84,5,77,0,-11.959837850267089
7,0x5d3653f18075b247b5482d9c38ca567a4d8acc9b,72,96,5,107,0,-30.00286413621543
8,0x16e7451d072ea28f2952eefcd7cc4a30b1f6a557,90,120,5,152,0,1.8367038641642477
9,0x85324b9c37e135eddbc88dae37b186479e76906b,96,125,5,155,0,1.214338957840896
10,0xdd2fdfd25d52357028668b88121cfc1eafe13258,102,128,5,158,0,-4.179921012750252
11,0x3ced715439d58c008468cc23e0c9737adeeed48f,102,151,7,220,0,-4.179921012750252
12,0x7f8bc086a51c54affef5b1aeb9a04a3302453944,113,157,7,235,0,17.019732691862888
13,0x4a9799ab6058d41a99aa7d58d95ae72eac321b15,118,159,7,240,0,17.51680783031591
14,0x751d6c31803bfc79aeb9274aca834402d7c2da60,119,161,7,241,0,17.81706252812592
15,0xb71356d4e766672f2bf684405b54bba43d19816c,119,170,8,251,0,17.81706252812592
16,0xe9d58d57b799f234920109eba0a73b5431ad9087,155,207,8,269,0,33.988220425462956
17,0x6aaa8738cf85aca2d39b5875743063d814141c21,169,217,9,275,0,54.009153465095295
18,0xb46f219f13039a567a8e626db7bcc7fb7fb498f7,195,230,10,305,0,39.62188881672415
19,0xea9c81d8c65a4fb12bf728bb116f7d894743436c,207,242,10,306,1,34.18413621009649
20,0x50696aed0548ca84f9ec3fd29ab0c199e64c7cfc,215,249,10,317,5,30.380144063330402
21,0x44a717f05fee10e20bf20c0c9baaa7e5c2ed29d7,224,266,10,327,5,28.040625615437037
